Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
72407.2363,EKP,,R,R,R,,R,R,,,,,,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.66252,EKP,,R,R,R,,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66254,EKP,,R,S,,,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66414,EKP,,S,,,R,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.24277,EKP,,,,R,,,R,R,R,R,R,,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.24356,EKP,R,,S,,S,,,R,R,,,R,R,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.46343,EKP,,,,,R,R,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
573.46833,EKP,,,R,,R,R,R,R,R,,,,S,,,,R,R,R,,R,,R,,,,,R,,,,,S,,,
573.24411,EKP,,,R,,S,R,,R,R,R,,R,R,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
72407.2527,EKP,,,S,,,S,,,,S,,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2742,EKP,,S,S,R,,R,,,R,,S,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2293,EKP,S,,S,R,S,,,,,,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66241,EKP,,S,S,,,,,S,,,,,,R,S,R,S,S,,,,,,,,,,,,,,,,,,
573.24362,EKP,S,S,S,R,,,,R,R,R,R,R,S,R,,R,R,R,S,,,,R,S,,,,,,R,,,,,,
573.66419,EKP,,,S,R,,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2602,EKP,,,S,R,,S,R,,R,S,,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66549,EKP,,,,,,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66345,EKP,,,R,,R,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.46862,EKP,,,R,R,R,R,,,,R,R,,S,,,,R,R,S,,R,,R,,,,,R,,,,,S,,,
573.30015,EKP,R,R,S,,R,,,R,,R,,,S,,,,,,R,,S,,,,,,,,,,,,,,,
573.24452,EKP,R,,S,,S,,,,R,R,R,R,R,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
72407.2786,EKP,S,S,S,,S,S,,,S,,S,S,S,S,S,,,S,R,,,S,S,S,S,R,,,,,,,,,,
573.4063,EKP,S,,S,,,,,,,S,R,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
573.31623,EKP,,R,,R,,,,,,,R,,R,R,,R,R,R,R,,,,,,,,,,,,,,,,,
573.22555,EKP,,,,,S,,R,S,,,R,,S,R,,,R,S,R,,,,,,,,,,,,,,,,,
573.20065,EKP,R,R,R,R,S,R,,R,R,,R,,R,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.46349,EKP,R,,,,R,,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
72407.2756,EKP,,S,R,R,S,S,R,,S,R,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.7059,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
573.66078,EKP,,,S,R,S,S,R,,,S,R,,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.4156,EKP,S,,R,,,,,,,R,S,,,R,R,,S,R,S,,,,,,,,,,,,,,,,,
573.20063,EKP,R,,,,S,,R,R,,R,,R,R,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
72407.2176,EKP,S,S,,,,,,,S,S,,S,S,S,R,,,S,R,,,R,S,S,R,R,,,,,,,,,,
573.66308,EKP,,,,R,R,,,R,S,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.24396,EKP,R,,S,,S,R,,,,,,,S,R,,R,R,R,S,,,,R,R,,,,,,R,,,,,,
72407.2345,EKP,,S,S,S,,,,,S,,S,S,S,S,S,,,S,S,,,R,S,S,S,R,,,,,,,,,,
72407.2808,EKP,,,S,R,,S,,,,R,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1284795.4,EKP,S,S,R,R,S,R,R,R,R,R,R,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
72407.2371,EKP,S,S,S,R,S,,R,,R,R,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66417,EKP,,,,,R,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.7062,EKP,S,,S,,,,,,,S,R,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
573.24269,EKP,,,,,,,S,R,,,,,S,R,,R,R,S,S,,,,S,R,R,,,,,R,,,,,,
573.24438,EKP,,R,S,,,,R,R,R,,R,,R,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.46367,EKP,,,,,,R,,,,R,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
72407.2823,EKP,S,S,,,S,,,,R,,,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.4083,EKP,S,,R,,,,,,,R,S,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
72407.2671,EKP,S,,,,,,R,,R,R,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24337,EKP,S,,,R,S,,R,R,R,,,,S,R,,R,R,R,R,,,,R,S,,,,,,R,,,,,,
573.4224,EKP,S,,S,,,,,,,R,,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
573.7044,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
72407.2743,EKP,S,,,R,S,,R,,,,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.5768,EKP,R,R,S,R,S,,R,,R,R,R,R,R,R,,R,,R,R,,,,,,R,,,,R,R,,,,,,
72407.2819,EKP,S,S,,R,,S,R,,R,,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.4159,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.66467,EKP,,,,,R,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66037,EKP,,S,,,S,,,,,,S,S,R,R,R,,,R,S,,,R,R,S,S,R,,,,,,,,,,
72407.2809,EKP,,S,,S,,,,,,R,R,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.236,EKP,S,S,S,,S,S,R,S,S,,R,R,S,R,R,,,S,R,,,R,S,S,R,R,,,,,,,,R,,
574.83,EKP,,S,S,,,R,,,,,,S,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66226,EKP,,,,,,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2812,EKP,S,,S,,,R,R,,,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2663,EKP,,,,,S,S,R,,R,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66557,EKP,,S,,,R,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2611,EKP,S,,,,S,S,,,,R,R,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.4131,EKP,,,R,,,,,,,,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
573.22559,EKP,,,,,,,R,S,,,S,,,R,,,R,,R,,,,,,,,,,,,,,,,,
72407.2612,EKP,S,,,R,,,R,,S,,S,S,S,R,S,,,S,S,,,R,R,S,R,R,,,,,,,,,,
573.46395,EKP,,,,R,R,,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
72407.2296,EKP,S,,,R,S,,R,,R,R,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66533,EKP,,R,S,R,R,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.46401,EKP,,R,,,R,,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
72407.2542,EKP,S,,,R,S,,,,R,S,,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.24354,EKP,,S,R,,S,,R,,R,,R,,S,R,,R,R,R,R,,,,R,S,,,,,,R,,,,,,
573.46839,EKP,,S,S,,,,R,,R,R,R,,S,,,,R,R,S,,R,,R,,,,,R,,,,,S,,,
573.46332,EKP,R,,,,R,R,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
573.29939,EKP,R,,,,R,,R,R,,,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
72407.192,EKP,S,,S,,S,R,S,,R,,R,R,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
72407.2352,EKP,,,,,S,S,R,,S,S,,S,S,S,S,,,S,R,,,S,S,S,S,R,,,,,,,,,,
573.66558,EKP,,,,,R,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
574.109,EKP,S,,S,,,S,,,,,,,S,R,S,,,R,S,,,R,R,S,R,R,,,,,,,,,,
72407.2521,EKP,S,,R,,S,,R,,,R,,,S,R,R,,,S,R,,,R,S,S,R,R,,,,,,,,,,
573.66324,EKP,,,S,,R,,,R,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2462,EKP,,,S,,,,,,R,,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66538,EKP,,,,R,R,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2828,EKP,S,,S,S,S,R,,,S,,S,S,S,R,S,,,S,R,,,R,R,S,S,R,,,,,,,,,,
72407.2452,EKP,S,,,R,,,,,,R,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24349,EKP,,S,,R,,,R,,R,R,R,,S,R,,R,R,R,R,,,,R,S,,,,,,R,,,,,,
573.66243,EKP,,,R,R,,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66276,EKP,,,R,,R,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.12771,EKP,,,S,,,S,,,R,,,R,S,R,,R,R,R,S,,,,R,,R,,,,,R,,,,,,
573.66288,EKP,,,R,R,R,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.24256,EKP,R,R,,,,R,,,,,,,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
1284825.3,EKP,R,R,R,R,S,R,R,R,R,R,R,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
72407.2677,EKP,,S,R,,S,,,,,R,R,,S,R,S,,,R,R,,,R,R,S,R,S,,,,,,,,,,
72407.2214,EKP,,S,S,,,,R,,,,S,S,S,R,S,,,R,S,,,R,R,S,R,R,,,,,,,,,,
573.4064,EKP,S,,R,,,,,,,R,R,,,R,R,,S,R,R,,,,,,,,,,,,,,,,,
72407.2872,EKP,,S,S,S,S,S,R,,,S,S,S,S,S,S,,,S,R,,,S,S,S,S,R,,,,,,,,,,
72407.2356,EKP,,,,,,S,,,R,,R,S,S,R,S,,,R,S,,,R,R,S,R,R,,,,,,,,,,
72407.2483,EKP,,S,,,S,,R,,,R,,S,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2392,EKP,S,,,,,R,R,,,,S,,S,R,S,,,R,R,,,R,R,S,R,S,,,,,,,,,,
573.66525,EKP,,S,R,R,,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2584,EKP,S,S,,,,R,,,R,,S,R,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.66509,EKP,,S,S,,R,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
1328396.3,EKP,R,R,S,,R,R,R,R,,R,,,,R,,R,,R,R,,,,,,R,,,,,R,,,,,,
573.66014,EKP,,R,,R,,,,,,R,,R,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
1284823.3,EKP,R,R,R,R,S,R,R,R,R,R,R,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.66082,EKP,,,R,R,S,S,,,R,,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.29942,EKP,R,S,S,,,,R,,,,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
72407.171,EKP,R,R,R,R,S,R,R,R,R,R,R,R,R,R,,,,R,R,,,,,S,,,,,,,,,,R,,
573.29867,EKP,R,,R,,R,,R,R,,,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
573.65979,EKP,S,S,S,,S,,R,,S,S,S,,S,R,S,,,S,R,,,R,R,S,R,S,,,,,,,,,,
72407.219,EKP,S,,R,S,,,R,,R,R,,S,S,R,S,,,R,S,,,R,S,S,R,S,,,,,,,,R,,
573.66338,EKP,,,,,,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2818,EKP,,S,,,S,S,R,,,S,,,S,S,S,,,S,R,,,S,S,S,S,S,,,,,,,,,,
1438700.3,EKP,,,S,S,S,,R,,,S,S,S,,,,,,S,,,,,S,,S,,,,,S,,,,,,
72407.2402,EKP,,,S,R,,,,,S,,,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.29986,EKP,R,S,R,,R,,R,R,,R,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
72407.2869,EKP,S,,,R,,S,R,,R,,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.4055,EKP,S,,R,,,,,,,R,S,,,,R,,S,R,R,,,,,,,,,,,,,,,,,
72407.2654,EKP,,S,,R,S,S,,,R,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2741,EKP,S,,,,S,,R,,,,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.65924,EKP,,,S,,,,R,,,,S,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1438699.3,EKP,,,R,R,S,,R,,,R,R,R,S,,,,,R,R,,,,R,,R,,,,,R,,,,,,
573.20059,EKP,S,,R,R,S,,R,,,,R,R,S,R,,R,R,R,S,,,,R,R,R,,,,,R,,,,,,
573.24426,EKP,R,,,R,S,R,R,,R,R,R,,S,R,,R,R,R,S,,,,R,R,,,,,,R,,,,,,
72407.2308,EKP,S,,,R,,R,R,,,R,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.29991,EKP,R,,R,,R,,,,,R,,,R,,,,,,R,,S,,,,,,,,,,,,,,,
573.46847,EKP,,,R,,R,,R,R,,,,,S,,,,R,R,S,,R,,R,,,,,R,,,,,S,,,
573.46836,EKP,,,,,,,,,R,,R,,R,,,,R,R,R,,R,,R,,,,,R,,,,,S,,,
573.66296,EKP,,S,S,R,,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.4088,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
72407.2374,EKP,S,,S,S,,,,,,R,S,,R,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24297,EKP,,,R,,S,,R,,,R,R,,S,R,,R,R,R,S,,,,R,S,R,,,,,R,,,,,,
573.19877,EKP,,,,R,S,,R,R,R,R,R,,R,R,,R,,R,S,,R,,R,R,R,,,,,R,,,,,,
573.24339,EKP,,S,,,,R,,,R,R,R,R,S,R,,R,R,R,S,,,,R,R,,,,,,R,,,,,,
573.7038,EKP,S,,R,,,,,,,S,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.66376,EKP,,S,,R,R,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.7046,EKP,S,,S,,,,,,,S,R,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
1284827.3,EKP,R,R,S,R,S,R,R,R,R,R,R,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
72407.2871,EKP,,,,S,,S,R,,,R,,,S,R,R,,,R,S,,,R,S,S,R,S,,,,,,,,,,
72407.2299,EKP,,,R,R,,,R,,,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.4105,EKP,S,,S,,,,,,,,,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.4206,EKP,S,,,,,,,,,,R,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
573.30011,EKP,R,R,S,,R,,R,,,R,,,R,,,,,,S,,S,,,,,,,,,,,,,,,
72407.2805,EKP,,S,,,,S,,,,R,,R,S,R,R,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2515,EKP,S,S,,R,S,,R,,,,S,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2274,EKP,S,S,,R,,,R,,R,R,R,,R,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2662,EKP,S,S,,R,S,,R,,R,,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1400161.3,EKP,,,S,S,S,,R,,,R,R,S,R,,,,,R,,,,,R,,R,,,,,R,,,,,,
574.93,EKP,S,,,R,,S,R,,R,R,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.4213,EKP,S,,,,,,,,,R,R,,,S,R,,R,S,R,,,,,,,,,,,,,,,,,
573.7032,EKP,R,R,R,R,S,R,R,R,R,R,R,R,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.46868,EKP,,,,,R,,,R,R,R,R,,S,,,,R,R,R,,R,,R,,,,,R,,,,,S,,,
573.4176,EKP,S,,R,,,,,,,R,S,,,S,S,,S,S,R,,,,,,,,,,,,,,,,,
573.24413,EKP,R,R,R,R,S,,R,,R,,,R,S,R,,R,R,R,S,,,,R,S,,,,,,R,,,,,,
573.66079,EKP,,S,S,S,S,S,,,S,S,R,S,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.7089,EKP,S,,S,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.4169,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.66466,EKP,,,,R,R,,,R,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.65993,EKP,S,R,R,,,S,R,,R,,R,R,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
72407.2625,EKP,S,,,R,S,S,R,,,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.227,EKP,S,,S,R,,,R,,,R,S,R,S,R,S,,,R,R,,,R,R,S,S,S,,,,,,,,R,,
573.4068,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
573.7048,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
72407.2737,EKP,S,,,R,S,,R,,R,,S,R,S,R,S,,,R,R,,,R,R,S,R,S,,,,,,,,,,
72407.263,EKP,R,R,,,S,,R,R,R,R,,R,R,R,,,,R,R,,,,,S,,,,,,,,,,R,,
72407.2575,EKP,,S,,R,S,S,,,,S,R,S,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66385,EKP,,,,,,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66526,EKP,,S,S,R,,,,,S,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.29874,EKP,,S,S,,R,,,R,,R,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
1328419.3,EKP,,,S,S,S,,R,,,S,,S,,,,,,S,,,,,S,,S,,,,,S,,,,,,
72407.2579,EKP,S,,S,,,S,R,,R,,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.7091,EKP,S,,S,,,,,,,S,R,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
72407.2309,EKP,,S,S,R,S,,,,,R,S,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66216,EKP,,,,,,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
574.92,EKP,S,S,S,,S,S,,,R,,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.29944,EKP,R,S,,,R,,,R,,R,,,S,,,,,,R,,S,,,,,,,,,,,,,,,
72407.2481,EKP,S,,,R,S,,R,,,,,S,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
72407.2563,EKP,S,,,,S,S,,,,R,,R,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24439,EKP,R,S,R,,S,R,,,R,R,,,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.46334,EKP,S,,,,R,R,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
72407.2247,EKP,S,S,,,,,R,,,R,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1284815.3,EKP,R,R,S,R,S,R,R,R,R,R,R,R,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
573.24388,EKP,S,,S,R,,,S,,R,,,,R,R,,R,R,R,R,,,,R,S,,,,,,R,,,,,,
573.66404,EKP,,,S,R,R,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
1284798.4,EKP,S,S,R,R,S,R,R,R,R,R,R,R,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
573.20062,EKP,,,R,R,S,R,R,R,,R,R,R,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.4227,EKP,,,R,,,,,,,S,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
72407.2633,EKP,,,,,,S,,,,,S,,S,R,R,,,R,S,,,R,S,S,R,R,,,,,,,,,,
573.66297,EKP,,,S,,R,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.1542,EKP,R,R,R,R,,R,,R,R,R,R,,,R,,R,R,R,,,,,R,R,,,,,,R,,,,,,
573.67363,EKP,S,,R,R,,,,,,,,,,,,,,,,,S,,,,,,S,R,,,,,,,,
573.4129,EKP,,,S,,,,,,,R,,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
573.46326,EKP,S,S,,,S,,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
573.66238,EKP,,,,R,,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.24261,EKP,R,S,S,R,,,S,R,R,,,S,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.24432,EKP,R,,R,,,,R,R,,R,,,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
72407.2244,EKP,S,S,,,,S,R,,,,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2649,EKP,,,,,S,,,,R,,S,,R,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
72407.2289,EKP,S,S,,,,S,,,,,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.65975,EKP,,,,R,,,,,R,R,R,,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.4212,EKP,,,,,,,,,,,S,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
72407.2434,EKP,,R,,R,S,,R,,R,R,R,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2713,EKP,,S,S,,,S,R,,R,,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
